department,division
Computer Science,MathCS
English,Humanities
Education,SocialSciences
Law,Law
Public Health,Medical
City and Regional Planning,SocialSciences
Biology,Biology
Optometry,Medical
History,Humanities
Industrial Engineering & Operations Research,Engineering
Physics,PhysicalSciences
Anthroplogy,SocialSciences
Political Science,SocialSciences
Mechanical Engineering,Engineering
Mathematics,MathCS
Social Welfare,SocialSciences
Near Eastern Studies,Humanities
Economics,Economics
Nuclear Engineering,Engineering
Statistics,MathCS
Slavic Languages and Literature,Humanities
Earth and Planetary Science,PhysicalSciences
"Environmental Science, Policy and Management",SocialSciences
Electrical Engineering,Engineering
Comparative Literature,Humanities
Civil and Environmental Engineering,Engineering
East Asian Languages and Culture,Humanities
Chemistry,PhysicalSciences
Business,Economics
Architecture,Engineering
Art History,Humanities
Energy and Resources Engineering,Engineering
Public Policy,SocialSciences
Nutritional science,Medical
Bioengineering,Engineering
Italian,Humanities
Material Science and Engineering,Engineering
Agricultural and Resource Economics and Policy,SocialSciences
Psychology,SocialSciences
Spanish and Portuguese,Humanities
Gender and Women's Studies,Humanities
Journalism,Humanities
Chemical Engineering,Engineering
Information,SocialSciences
Film and Media,Humanities
Astronomy,PhysicalSciences
Rhetoric,Humanities
Music,Humanities
Classics,Humanities
Ethnic Studies,Humanities
French,Humanities
Sociology,SocialSciences
Interdisciplinary Studies,Humanities
Philosophy,Humanities
German,Humanities
Geography,SocialSciences
Art Practice,Humanities
"Theater, Dance and Performance Studies",Humanities
Scandinavian Languages,Humanities
South & Southeast Asian Studies,Humanities
Linguistics,Humanities
Electrical Engineering and Computer Science,Engineering
Landscape Architecture & Environmental Planning,SocialSciences
African American Studies,Humanities
Demography,SocialSciences
